編號,寄送日期,農場主人,蜂箱數量,地址,設施面積(分),栽種作物
169,8月17日,王XX,10,新北市三峽區大埔路123號,3.4,哈密瓜
174,7月11日,王XX,4,台中市北區成功路123號,6.7,哈密瓜
181,7月22日,陳XX,8,台南市北區成功路123號,6.2,哈密瓜
188,8月2日,陳XX,5,桃園市中壢區民族路123號,8.1,哈密瓜
194,7月30日,林XX,1,高雄市三民區民族一路123號,3.8,哈密瓜
202,7月1日,吳XX,2,新北市三峽區大埔路123號,3.4,哈密瓜
209,7月22日,陳XX,5,台北市大同區民生西路123號,3.7,哈密瓜
216,7月31日,王XX,1,台中市北區成功路123號,4.9,哈密瓜
220,7月26日,林XX,10,台中市北區一中街123號,3.2,哈密瓜
225,7月4日,吳XX,1,高雄市三民區民族一路123號,9.2,哈密瓜
229,7月8日,陳XX,6,新竹市東區中華路123號,4.3,哈密瓜
236,7月19日,陳XX,6,新竹市東區中華路123號,3.6,哈密瓜
242,7月24日,王XX,9,台北市大同區民生西路123號,8.1,哈密瓜
246,7月4日,林XX,10,高雄市三民區民族一路123號,6.7,哈密瓜
250,8月9日,陳XX,5,新竹市東區中華路123號,6.8,哈密瓜
254,7月15日,吳XX,9,新北市三峽區大埔路123號,7.9,哈密瓜
259,8月12日,吳XX,2,高雄市三民區立德路123號,9.4,哈密瓜
263,7月13日,陳XX,5,新竹市東區中華路123號,6.5,哈密瓜
266,7月18日,林XX,9,高雄市三民區民族一路123號,8.2,哈密瓜
272,7月7日,王XX,10,桃園市桃園區中山路123號,6.4,哈密瓜
278,7月29日,陳XX,6,桃園市桃園區中山路123號,5.9,哈密瓜
283,7月21日,陳XX,9,台北市大同區民生西路123號,9.5,哈密瓜
289,8月5日,吳XX,3,台北市大同區民生西路123號,8.7,哈密瓜
293,7月8日,陳XX,2,台中市北區成功路123號,5.8,哈密瓜
298,7月3日,陳XX,10,高雄市三民區立德路123號,9.5,哈密瓜
306,8月7日,王XX,7,桃園市中壢區中央西路123號,9.5,哈密瓜
312,7月3日,陳XX,2,桃園市龍潭區中正路123號,4.8,哈密瓜
321,7月26日,吳XX,2,台北市中正區忠孝東路123號,4.2,哈密瓜
327,7月26日,陳XX,2,台南市安南區安和路123號,7.9,哈密瓜
333,7月13日,林XX,8,新竹市東區東門街123號,7.1,哈密瓜
339,7月18日,王XX,8,台中市西屯區文心路123號,6.4,哈密瓜
345,7月30日,陳XX,3,桃園市中壢區中央西路123號,9.7,哈密瓜
351,7月2日,吳XX,2,桃園市八德區大興路123號,6.5,哈密瓜
357,7月16日,陳XX,4,台南市安南區安和路123號,5.8,哈密瓜
363,7月25日,林XX,3,新竹市東區東門街123號,7.5,哈密瓜
369,8月8日,王XX,7,桃園市中壢區中央西路123號,5.4,哈密瓜
375,7月15日,陳XX,3,桃園市中壢區中央西路123號,3.4,哈密瓜
381,7月17日,吳XX,2,桃園市八德區大興路123號,5.6,哈密瓜
387,7月27日,陳XX,4,台南市安南區安和路123號,3.4,哈密瓜
393,7月29日,林XX,3,新竹市東區東門街123號,5.2,哈密瓜
399,7月23日,王XX,7,桃園市中壢區中央西路123號,8.2,哈密瓜
405,7月14日,陳XX,3,桃園市中壢區中央西路123號,4.3,哈密瓜
411,7月24日,吳XX,2,桃園市八德區大興路123號,6.5,哈密瓜
417,7月13日,陳XX,4,台南市安南區安和路123號,6.8,哈密瓜
423,8月10日,林XX,3,新竹市東區東門街123號,7.3,哈密瓜
429,7月11日,王XX,7,桃園市中壢區中央西路123號,4.9,哈密瓜
435,7月25日,陳XX,3,桃園市中壢區中央西路123號,4.3,哈密瓜
441,7月3日,吳XX,2,桃園市八德區大興路123號,6.5,哈密瓜
447,7月10日,陳XX,4,台南市安南區安和路123號,6.8,哈密瓜
453,7月12日,林XX,3,新竹市東區東門街123號,7.3,哈密瓜
459,7月14日,王XX,7,桃園市中壢區中央西路123號,4.9,哈密瓜
465,7月23日,陳XX,3,桃園市中壢區中央西路123號,4.3,哈密瓜
471,7月5日,吳XX,2,桃園市八德區大興路123號,6.5,哈密瓜
477,7月21日,陳XX,4,台南市安南區安和路123號,6.8,哈密瓜
483,7月9日,林XX,3,新竹市東區東門街123號,7.3,哈密瓜
489,8月4日,王XX,7,桃園市中壢區中央西路123號,4.9,哈密瓜
495,7月30日,陳XX,3,桃園市中壢區中央西路123號,4.3,哈密瓜
7,9月26日,林XX,3,台中市北區北平路34號,4.5,大黃瓜
49,10月15日,李XX,1,台中市西屯區台灣大道四段123號,4.3,大黃瓜
78,11月4日,王XX,10,高雄市三民區立德路123號,5.8,大黃瓜
13,10月29日,王XX,6,台中市北屯區大連路123號,5.1,大黃瓜
803,12月29日,黃XX,7,新北市板橋區文化路,3.6,大黃瓜
611,11月15日,吳XX,8,桃園市八德區大興路123號,2.4,大黃瓜
616,12月18日,吳XX,7,台北市大同區民權西路123號,5.6,大黃瓜
625,10月14日,陳XX,8,高雄市鼓山區明誠三路123號,3.5,大黃瓜
641,10月17日,吳XX,8,桃園市八德區大興路123號,2.4,大黃瓜
646,12月2日,吳XX,7,台北市大同區民權西路123號,5.6,大黃瓜
655,12月25日,陳XX,8,高雄市鼓山區明誠三路123號,3.5,大黃瓜
671,10月30日,吳XX,8,桃園市八德區大興路123號,2.4,大黃瓜
676,10月4日,吳XX,7,台北市大同區民權西路123號,5.6,大黃瓜
685,11月18日,陳XX,8,高雄市鼓山區明誠三路123號,3.5,大黃瓜
701,11月21日,吳XX,8,桃園市八德區大興路123號,2.4,大黃瓜
706,11月30日,吳XX,7,台北市大同區民權西路123號,5.6,大黃瓜
715,11月12日,陳XX,8,高雄市鼓山區明誠三路123號,3.5,大黃瓜
726,12月4日,陳XX,2,新竹市東區明湖路,3.9,大黃瓜
736,9月23日,吳XX,7,台南市東區大學路,1.9,大黃瓜
743,11月19日,王XX,2,高雄市左營區新莊一路,3.8,大黃瓜
756,10月18日,王XX,8,高雄市鳳山區中山東路,3.9,大黃瓜
765,12月21日,吳XX,5,台南市南區中正路,3.7,大黃瓜
769,12月14日,吳XX,9,台北市中山區民權東路,4.5,大黃瓜
772,11月8日,王XX,8,高雄市左營區新莊一路,4.2,大黃瓜
777,12月9日,吳XX,4,台南市東區東寧路,3.4,大黃瓜
789,11月29日,吳XX,9,台南市南區中正路,3.3,大黃瓜
794,10月3日,林XX,8,新北市板橋區新站路,4.6,大黃瓜
797,11月20日,吳XX,9,台北市中山區民權東路,3.9,大黃瓜
610,9月25日,陳XX,5,新北市三峽區大同路123號,3.1,大黃瓜
624,10月22日,王XX,4,新竹市北區水源街123號,4.7,大黃瓜
640,12月23日,陳XX,5,新北市三峽區大同路123號,3.1,大黃瓜
654,12月30日,王XX,4,新竹市北區水源街123號,4.7,大黃瓜
670,11月28日,陳XX,5,新北市三峽區大同路123號,3.1,大黃瓜
684,9月27日,王XX,4,新竹市北區水源街123號,4.7,大黃瓜
700,11月25日,陳XX,5,新北市三峽區大同路123號,3.1,大黃瓜
714,12月12日,王XX,4,新竹市北區水源街123號,4.7,大黃瓜
730,12月5日,陳XX,3,高雄市鳳山區文化路,3.8,小黃瓜
739,11月7日,王XX,8,高雄市前金區六合二路,3.5,小黃瓜
748,10月11日,陳XX,8,高雄市三民區博愛一路,4.3,小黃瓜
751,12月15日,王XX,4,高雄市苓雅區光華一路,2.1,小黃瓜
760,11月16日,王XX,4,高雄市三民區明誠一路,2.9,小黃瓜
764,12月7日,王XX,1,高雄市鳳山區文化路,2.6,小黃瓜
768,10月20日,王XX,4,高雄市三民區建國三路,2.8,小黃瓜
773,11月6日,吳XX,1,台北市中山區民權東路,3.9,小黃瓜
776,12月19日,王XX,9,高雄市苓雅區光華一路,1.7,小黃瓜
781,10月5日,吳XX,1,台北市松山區光復北路,2.1,小黃瓜
788,12月28日,王XX,3,高雄市鳳山區文化路,2.8,小黃瓜
793,12月11日,吳XX,2,台北市士林區忠誠路,2.1,小黃瓜
798,10月24日,林XX,6,新北市新莊區中正路,2.8,小黃瓜
815,9月30日,吳XX,1,高雄市三民區明誠一路,2.6,小黃瓜
818,12月13日,陳XX,7,台北市中山區民權東路,3.4,小黃瓜
832,12月17日,黃XX,8,高雄市苓雅區光華一路,4.2,小黃瓜
865,9月24日,吳XX,4,高雄市鳳山區建國三路,2.9,小黃瓜
879,11月26日,林XX,5,高雄市鳳山區建國三路,3.8,小黃瓜
614,11月13日,王XX,9,新北市三重區新北路123號,6.1,櫛瓜
620,10月21日,陳XX,5,新竹市東區水源街123號,2.7,櫛瓜
631,12月8日,吳XX,7,桃園市中壢區正康路123號,6.4,櫛瓜
644,9月20日,王XX,9,新北市三重區新北路123號,6.1,櫛瓜
650,11月10日,陳XX,5,新竹市東區水源街123號,2.7,櫛瓜
661,12月1日,吳XX,7,桃園市中壢區正康路123號,6.4,櫛瓜
674,10月26日,王XX,9,新北市三重區新北路123號,6.1,櫛瓜
680,12月20日,陳XX,5,新竹市東區水源街123號,2.7,櫛瓜
691,12月3日,吳XX,7,桃園市中壢區正康路123號,6.4,櫛瓜
704,11月27日,王XX,9,新北市三重區新北路123號,6.1,櫛瓜
710,9月28日,陳XX,5,新竹市東區水源街123號,2.7,櫛瓜
744,11月3日,陳XX,4,台北市士林區忠誠路,1.7,櫛瓜
1,12月22日,陳XX,8,新北市三峽區大埔路76號,4.7,櫛瓜
17,10月28日,陳XX,7,桃園市中壢區中華路123號,4.6,櫛瓜
21,4月7日,吳XX,5,台中市南區興大路123號,3.7,櫛瓜
43,12月8日,陳XX,8,桃園市桃園區中山路123號,4.7,櫛瓜
51,1月25日,蔡XX,3,新北市三重區正義南路123號,2.7,櫛瓜
73,6月17日,林XX,8,台北市中山區南京東路一段123號,5.6,櫛瓜
80,8月28日,吳XX,9,台中市北區忠明路123號,2.7,櫛瓜
85,10月17日,黃XX,2,新北市三重區重新路123號,8.2,櫛瓜
93,8月28日,林XX,2,高雄市三民區十全一路123號,6.5,櫛瓜
98,4月14日,王XX,1,台南市北區成功路123號,4.8,櫛瓜
101,3月18日,張XX,3,台南市北區成功路123號,8.6,櫛瓜
125,5月24日,王XX,4,台北市大同區民生西路123號,5.6,櫛瓜
134,7月9日,張XX,4,桃園市中壢區民族路123號,8.3,櫛瓜
137,6月5日,林XX,7,高雄市苓雅區中山二路123號,4.7,櫛瓜
142,4月21日,吳XX,3,桃園市桃園區中山路123號,8.9,櫛瓜
160,8月7日,林XX,3,台北市信義區松仁路123號,3.8,櫛瓜
177,11月10日,陳XX,1,台中市南區大慶街123號,7.3,櫛瓜
185,9月26日,吳XX,1,台北市大同區民生西路123號,4.6,櫛瓜
193,12月14日,陳XX,8,台中市北區成功路123號,9.5,櫛瓜
198,8月2日,王XX,4,新北市板橋區中山路123號,4.3,櫛瓜
208,10月20日,吳XX,1,新北市三峽區大埔路123號,8.4,櫛瓜
218,7月16日,吳XX,3,高雄市三民區立德路123號,5.7,櫛瓜
222,11月28日,陳XX,9,新竹市東區中華路123號,4.5,櫛瓜
228,5月1日,王XX,3,台北市大同區民生西路123號,7.9,櫛瓜
233,3月26日,吳XX,2,新北市三峽區大埔路123號,9.5,櫛瓜
238,9月10日,陳XX,3,桃園市桃園區中山路123號,4.7,櫛瓜
244,10月27日,吳XX,7,台中市北區一中街123號,9.3,櫛瓜
252,12月8日,王XX,1,桃園市桃園區中山路123號,8.2,櫛瓜
256,4月6日,林XX,10,新竹市東區中華路123號,8.7,櫛瓜
262,3月29日,王XX,6,台北市大同區民生西路123號,9.8,櫛瓜
269,7月12日,吳XX,1,台北市大同區民生西路123號,3.5,櫛瓜
275,8月11日,陳XX,2,台中市北區成功路123號,4.3,櫛瓜
280,6月22日,陳XX,10,新北市三峽區大埔路123號,7.6,櫛瓜
286,12月4日,林XX,1,新北市三峽區大埔路123號,4.6,櫛瓜
291,11月18日,林XX,4,高雄市三民區立德路123號,9.4,櫛瓜
295,10月1日,陳XX,1,台北市大同區民生西路123號,4.9,櫛瓜
302,5月29日,陳XX,4,台南市中西區民族路123號,8.2,櫛瓜
309,4月16日,王XX,9,高雄市左營區博愛二路123號,8.7,櫛瓜
317,9月4日,陳XX,9,新竹市香山區香北路123號,5.7,櫛瓜
326,12月9日,吳XX,5,新北市板橋區文化路123號,5.4,櫛瓜
332,11月6日,陳XX,3,高雄市左營區博愛二路123號,4.6,櫛瓜
338,8月3日,林XX,1,台南市南區南門路123號,5.8,櫛瓜
350,10月29日,陳XX,5,台北市中正區忠孝東路123號,4.9,櫛瓜
356,4月26日,吳XX,8,新北市板橋區文化路123號,9.3,櫛瓜
362,9月20日,陳XX,7,高雄市左營區博愛二路123號,6.9,櫛瓜
368,6月17日,林XX,1,台北市信義區信義路123號,9.2,櫛瓜
380,11月27日,陳XX,5,台北市中正區忠孝東路123號,9.8,櫛瓜
386,5月22日,吳XX,8,新北市板橋區文化路123號,6.7,櫛瓜
392,12月17日,陳XX,7,高雄市左營區博愛二路123號,7.9,櫛瓜
398,8月20日,林XX,1,台北市信義區信義路123號,3.9,櫛瓜
410,7月4日,陳XX,5,台北市中正區忠孝東路123號,7.4,櫛瓜
416,10月6日,吳XX,8,新北市板橋區文化路123號,9.1,櫛瓜
422,6月3日,陳XX,7,高雄市左營區博愛二路123號,4.7,櫛瓜
428,3月25日,林XX,1,台北市信義區信義路123號,8.3,櫛瓜
440,12月19日,陳XX,5,台北市中正區忠孝東路123號,7.4,櫛瓜
446,9月7日,吳XX,8,新北市板橋區文化路123號,9.1,櫛瓜
452,11月22日,陳XX,7,高雄市左營區博愛二路123號,4.7,櫛瓜
458,8月28日,林XX,1,台北市信義區信義路123號,8.3,櫛瓜
470,5月18日,陳XX,5,台北市中正區忠孝東路123號,7.4,櫛瓜
476,7月13日,吳XX,8,新北市板橋區文化路123號,9.1,櫛瓜
482,4月23日,陳XX,7,高雄市左營區博愛二路123號,4.7,櫛瓜
488,10月18日,林XX,1,台北市信義區信義路123號,8.3,櫛瓜
500,11月24日,陳XX,5,台北市中正區忠孝東路123號,7.4,櫛瓜
505,8月17日,張XX,3,嘉義市西區文化路,2.8,櫛瓜
512,6月24日,陳XX,4,台中市南區復興路,2.9,櫛瓜
515,9月18日,陳XX,9,台中市南區忠孝路,3.5,櫛瓜
525,12月2日,王XX,2,新北市新店區安和路,2.6,櫛瓜
537,3月19日,王XX,2,新北市新店區安和路,2.6,櫛瓜
540,5月15日,林XX,6,彰化市中山路,2.8,櫛瓜
549,7月22日,王XX,2,新北市新店區安和路,2.6,櫛瓜
552,8月27日,林XX,6,彰化市中山路,2.8,櫛瓜
561,10月28日,王XX,2,新北市新店區安和路,2.6,櫛瓜
564,11月12日,林XX,6,彰化市中山路,2.8,櫛瓜
573,6月10日,王XX,2,新北市新店區安和路,2.6,櫛瓜
576,12月15日,林XX,6,彰化市中山路,2.8,櫛瓜
585,9月3日,王XX,2,新北市新店區安和路,2.6,櫛瓜
588,4月30日,林XX,6,彰化市中山路,2.8,櫛瓜
597,3月20日,王XX,2,新北市新店區安和路,2.6,櫛瓜
600,8月6日,林XX,6,彰化市中山路,2.8,櫛瓜
806,7月26日,謝XX,1,高雄市苓雅區光華一路,4.2,櫛瓜
810,11月19日,謝XX,7,桃園市桃園區民權路,4.5,櫛瓜
813,5月6日,陳XX,3,新北市板橋區文化路,2.5,櫛瓜
824,12月13日,陳XX,1,台北市松山區光復北路,3.9,櫛瓜
826,9月28日,蔡XX,9,桃園市桃園區成功路,4.6,櫛瓜
829,6月25日,黃XX,2,高雄市三民區明誠一路,3.3,櫛瓜
836,10月19日,吳XX,9,台北市松山區光復北路,3.1,櫛瓜
840,4月20日,謝XX,1,台北市松山區光復北路,3.9,櫛瓜
856,3月24日,謝XX,5,台北市大安區忠孝東路,2.9,櫛瓜
859,7月21日,陳XX,4,高雄市鳳山區中山東路,2.6,櫛瓜
863,11月5日,黃XX,1,新北市三重區重新路,2.5,櫛瓜
875,12月6日,吳XX,3,台北市大安區忠孝東路,2.6,櫛瓜
895,5月27日,蔡XX,7,高雄市鳳山區中山東路,2.8,櫛瓜
908,8月30日,吳XX,9,台北市松山區光復北路,4.1,櫛瓜
911,10月16日,吳XX,1,新北市板橋區文化路,2.9,櫛瓜
917,9月13日,林XX,3,桃園市桃園區成功路,2.8,櫛瓜
921,6月20日,謝XX,7,新北市三重區重新路,2.9,櫛瓜
929,4月1日,謝XX,7,新北市三重區重新路,2.7,櫛瓜
951,12月10日,吳XX,1,新北市板橋區文化路,2.2,櫛瓜
973,7月18日,林XX,3,桃園市桃園區成功路,2.7,櫛瓜
8,1月31日,李XX,6,新竹市東區中山路89號,8.9,水蜜桃
24,1月22日,陳XX,2,新北市三重區重新路123號,7.1,水蜜桃
61,1月12日,陳XX,8,新北市新莊區中正路123號,8.9,水蜜桃
76,1月11日,張XX,4,新北市三重區重新路123號,4.3,水蜜桃
87,1月1日,李XX,10,台中市南區興大路123號,3.2,水蜜桃
2,9月27日,吳XX,4,台南市中西區民族路56號,2.3,洋香瓜
29,10月5日,陳XX,7,新北市三重區重新路123號,2.8,洋香瓜
34,11月28日,黃XX,10,台南市南區大學路123號,8.7,洋香瓜
44,11月27日,林XX,3,台北市中正區中山南路123號,5.8,洋香瓜
50,12月17日,陳XX,10,高雄市三民區民族一路123號,8.4,洋香瓜
79,12月8日,陳XX,5,新北市板橋區中山路123號,7.6,洋香瓜
81,9月28日,陳XX,3,台北市中山區南京東路三段123號,4.9,洋香瓜
86,11月4日,陳XX,5,高雄市前金區中山二路123號,5.3,洋香瓜
94,12月19日,吳XX,9,新北市三峽區大埔路123號,2.6,洋香瓜
99,12月29日,陳XX,8,台北市大同區民權西路123號,9.1,洋香瓜
113,10月27日,張XX,2,台北市中山區南京東路一段123號,9.2,洋香瓜
122,10月27日,林XX,9,高雄市三民區民族一路123號,7.4,洋香瓜
129,10月20日,陳XX,1,台南市北區成功路123號,9.2,洋香瓜
136,10月25日,陳XX,2,新竹市東區中華路123號,9.8,洋香瓜
143,12月16日,陳XX,9,台北市大同區民生西路123號,4.3,洋香瓜
148,12月4日,陳XX,1,新北市三峽區大埔路123號,6.2,洋香瓜
157,11月19日,林XX,1,台中市南區大慶街123號,8.7,洋香瓜
162,11月3日,王XX,6,高雄市三民區民族一路123號,7.4,洋香瓜
168,10月6日,蔡XX,5,台北市大同區中山北路123號,7.8,洋香瓜
175,10月24日,陳XX,9,高雄市前金區中山二路123號,3.5,洋香瓜
180,11月27日,吳XX,2,新竹市東區中華路123號,3.7,洋香瓜
184,12月5日,陳XX,6,台中市北區一中街123號,8.5,洋香瓜
191,10月17日,吳XX,7,台北市大同區民生西路123號,6.8,洋香瓜
195,12月15日,陳XX,6,台北市大同區民生西路123號,7.2,洋香瓜
203,10月18日,王XX,9,台中市北區成功路123號,8.2,洋香瓜
207,10月24日,陳XX,6,高雄市三民區立德路123號,6.7,洋香瓜
212,10月22日,陳XX,7,桃園市桃園區中山路123號,9.6,洋香瓜
217,10月19日,陳XX,8,桃園市桃園區中山路123號,8.3,洋香瓜
221,11月22日,王XX,4,台北市大同區民生西路123號,7.6,洋香瓜
227,12月25日,林XX,8,台中市北區成功路123號,6.6,洋香瓜
232,12月20日,陳XX,9,高雄市三民區立德路123號,6.2,洋香瓜
237,10月18日,王XX,10,台中市北區一中街123號,6.9,洋香瓜
243,11月6日,陳XX,1,新竹市東區中華路123號,3.9,洋香瓜
247,10月20日,王XX,3,新北市三峽區大埔路123號,8.5,洋香瓜
251,11月2日,林XX,7,台中市北區一中街123號,3.5,洋香瓜
255,11月20日,陳XX,4,台中市北區成功路123號,5.6,洋香瓜
261,10月13日,林XX,1,台中市北區成功路123號,3.4,洋香瓜
264,11月30日,吳XX,10,台中市北區一中街123號,4.3,洋香瓜
268,11月23日,陳XX,8,台中市北區成功路123號,7.3,洋香瓜
273,11月16日,陳XX,4,高雄市三民區立德路123號,3.7,洋香瓜
279,11月28日,吳XX,3,高雄市三民區民族一路123號,8.2,洋香瓜
284,11月10日,吳XX,2,桃園市桃園區中山路123號,3.7,洋香瓜
290,12月6日,陳XX,7,桃園市桃園區中山路123號,6.2,洋香瓜
294,11月8日,吳XX,8,新竹市東區中華路123號,7.6,洋香瓜
299,12月6日,吳XX,4,新北市三峽區大埔路123號,4.6,洋香瓜
305,10月21日,陳XX,3,台北市中山區中山北路123號,7.3,洋香瓜
311,11月4日,吳XX,7,台北市信義區信義路123號,3.5,洋香瓜
316,10月28日,吳XX,1,台北市大安區仁愛路123號,3.6,洋香瓜
320,10月17日,陳XX,7,新北市新莊區中港路123號,7.8,洋香瓜
325,11月24日,陳XX,6,台中市北區北平路123號,8.6,洋香瓜
331,11月26日,吳XX,7,台北市中山區中山北路123號,9.2,洋香瓜
337,11月23日,陳XX,6,新北市新店區中正路123號,7.5,洋香瓜
343,12月12日,林XX,9,台南市東區崇明路123號,8.1,洋香瓜
348,12月5日,林XX,1,台中市西屯區文心路123號,8.4,洋香瓜
355,12月23日,陳XX,1,台中市北區北平路123號,4.5,洋香瓜
361,11月21日,吳XX,5,台北市中山區中山北路123號,4.2,洋香瓜
367,10月16日,陳XX,4,新北市新店區中正路123號,3.8,洋香瓜
373,11月29日,林XX,8,台南市東區崇明路123號,5.3,洋香瓜
378,10月21日,林XX,1,台中市西屯區文心路123號,4.1,洋香瓜
385,11月14日,陳XX,1,台中市北區北平路123號,7.2,洋香瓜
391,12月27日,吳XX,5,台北市中山區中山北路123號,8.6,洋香瓜
397,12月11日,陳XX,4,新北市新店區中正路123號,6.8,洋香瓜
403,12月8日,林XX,8,台南市東區崇明路123號,6.2,洋香瓜
408,12月2日,林XX,1,台中市西屯區文心路123號,3.6,洋香瓜
415,12月28日,陳XX,1,台中市北區北平路123號,3.5,洋香瓜
421,11月9日,吳XX,5,台北市中山區中山北路123號,6.4,洋香瓜
427,11月15日,陳XX,4,新北市新店區中正路123號,5.6,洋香瓜
433,12月21日,林XX,8,台南市東區崇明路123號,6.2,洋香瓜
438,11月5日,林XX,1,台中市西屯區文心路123號,3.6,洋香瓜
445,12月9日,陳XX,1,台中市北區北平路123號,3.5,洋香瓜
451,12月17日,吳XX,5,台北市中山區中山北路123號,6.4,洋香瓜
457,11月10日,陳XX,4,新北市新店區中正路123號,5.6,洋香瓜
463,11月14日,林XX,8,台南市東區崇明路123號,6.2,洋香瓜
468,10月14日,林XX,1,台中市西屯區文心路123號,3.6,洋香瓜
475,12月29日,陳XX,1,台中市北區北平路123號,3.5,洋香瓜
481,12月6日,吳XX,5,台北市中山區中山北路123號,6.4,洋香瓜
487,11月15日,陳XX,4,新北市新店區中正路123號,5.6,洋香瓜
493,12月14日,林XX,8,台南市東區崇明路123號,6.2,洋香瓜
498,1月31日,林XX,1,台中市西屯區文心路123號,3.6,洋香瓜
16,1月19日,張XX,1,台南市中西區民權路123號,2.9,甜桃
37,1月12日,陳XX,2,台北市松山區八德路123號,4.1,甜桃
54,1月29日,林XX,2,新北市三重區重新路123號,3.1,甜桃
69,1月5日,陳XX,4,新北市三重區重新路123號,7.1,甜桃
5,11月25日,陳XX,5,台中市南區建國南路二段2號,3.1,百香果
14,11月30日,陳XX,3,高雄市三民區民族一路123號,7.8,百香果
18,11月11日,蔡XX,4,台中市西屯區惠來路123號,5.7,百香果
22,12月18日,林XX,3,台北市大同區民權西路123號,4.9,百香果
35,11月4日,林XX,3,台中市西屯區惠來路123號,2.5,百香果
41,10月3日,王XX,1,高雄市前鎮區一心一路123號,6.3,百香果
52,11月7日,張XX,8,台南市中西區府前路123號,9.5,百香果
59,10月17日,林XX,6,台北市大安區羅斯福路123號,4.3,百香果
66,11月11日,蔡XX,7,新北市三峽區大埔路123號,3.9,百香果
74,11月4日,蔡XX,2,高雄市前鎮區中山二路123號,8.3,百香果
83,10月6日,陳XX,1,新北市中和區中山路123號,3.1,百香果
91,12月22日,王XX,1,桃園市中壢區民族路123號,8.3,百香果
102,1月10日,吳XX,6,高雄市三民區立德路123號,6.7,百香果
108,1月4日,王XX,3,新竹市北區大學路123號,6.1,百香果
112,11月11日,林XX,8,新北市三峽區大埔路123號,3.6,百香果
115,1月11日,陳XX,6,新竹市東區中華路123號,5.7,百香果
119,11月4日,王XX,5,台中市北區忠明路123號,9.5,百香果
126,12月9日,陳XX,7,桃園市桃園區中山路123號,3.4,百香果
132,10月20日,林XX,3,新北市三峽區大埔路123號,3.7,百香果
140,1月10日,林XX,5,台中市南區大慶街123號,6.2,百香果
144,12月20日,王XX,2,台南市北區成功路123號,6.7,百香果
153,12月9日,吳XX,7,台北市大同區民生西路123號,4.5,百香果
161,11月25日,陳XX,8,台南市北區成功路123號,9.1,百香果
166,11月30日,王XX,9,台中市北區一中街123號,3.7,百香果
173,12月16日,陳XX,7,台北市信義區松高路123號,9.2,百香果
179,11月30日,陳XX,5,台北市大同區民生西路123號,9.1,百香果
187,12月22日,王XX,4,台中市北區成功路123號,6.9,百香果
190,11月25日,陳XX,2,新北市三峽區大埔路123號,7.6,百香果
197,12月22日,陳XX,10,桃園市桃園區中山路123號,6.4,百香果
200,12月22日,林XX,2,台南市北區成功路123號,8.7,百香果
205,12月22日,林XX,8,新竹市東區中華路123號,4.1,百香果
211,1月4日,王XX,2,台中市北區成功路123號,7.2,百香果
215,12月20日,林XX,5,新竹市東區中華路123號,7.4,百香果
224,12月9日,陳XX,7,桃園市桃園區中山路123號,5.4,百香果
231,12月20日,王XX,4,桃園市桃園區中山路123號,5.7,百香果
235,12月20日,林XX,1,台北市大同區民生西路123號,8.3,百香果
241,12月20日,林XX,5,台中市北區成功路123號,6.4,百香果
248,12月9日,陳XX,8,台中市北區成功路123號,5.9,百香果
258,11月6日,陳XX,8,桃園市桃園區中山路123號,6.1,百香果
